City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Atbasar,KZ,2020-09-04 18:37:53,51.8,68.33,46.87,69,78,7.52
275,Tete,MZ,2020-09-04 18:37:53,-16.16,33.59,75.2,41,20,5.82
276,Chicama,PE,2020-09-04 18:37:53,-7.84,-79.15,71.98,53,12,11.56
277,Miri,MY,2020-09-04 18:37:53,4.41,114.01,78.8,94,40,3.36
278,Belmonte,BR,2020-09-04 18:37:54,-15.86,-38.88,78.8,65,20,9.17
279,Xinzhi,CN,2020-09-04 18:37:55,36.5,111.7,72.34,30,100,4.03
280,Luderitz,NA,2020-09-04 18:37:55,-26.65,15.16,58.42,72,72,8.39
281,Roma,US,2020-09-04 18:33:32,43.21,-75.46,73.4,46,40,14.99
282,Hamilton,US,2020-09-04 18:33:32,39.18,-84.53,81.0,44,1,3.36
283,Aksarayskiy,RU,2020-09-04 18:37:56,46.79,48.01,69.01,64,8,8.95
284,Victoria,HK,2020-09-04 18:37:56,22.29,114.16,84.0,86,38,5.99
285,Trinidad,BO,2020-09-04 18:33:27,-14.83,-64.9,91.4,46,72,4.7
286,Rabaul,PG,2020-09-04 18:37:57,-4.2,152.17,79.83,78,98,8.21
287,Marrakesh,MA,2020-09-04 18:37:57,31.63,-8.01,96.8,30,20,6.93
288,Tveit,NO,2020-09-04 18:37:57,58.23,8.12,57.99,82,40,9.17
289,Ust-Koksa,RU,2020-09-04 18:37:57,50.27,85.61,44.08,80,36,3.8
290,Ranong,TH,2020-09-04 18:37:58,9.97,98.63,80.04,79,100,3.31
291,Coihaique,CL,2020-09-04 18:37:58,-45.58,-72.07,50.0,43,20,3.36
292,Suleja,NG,2020-09-04 18:37:58,9.18,7.18,72.82,94,97,2.59
293,Kamaishi,JP,2020-09-04 18:37:58,39.27,141.88,75.18,91,96,3.87
294,Quixeramobim,BR,2020-09-04 18:37:59,-5.2,-39.29,93.33,28,25,6.67
295,Manado,ID,2020-09-04 18:37:59,1.49,124.85,75.2,94,20,1.12
296,Vila Franca Do Campo,PT,2020-09-04 18:37:59,37.72,-25.43,71.6,83,40,10.29
297,Bollnas,SE,2020-09-04 18:37:59,61.35,16.39,60.01,91,43,1.99
298,Mayo,US,2020-09-04 18:38:00,38.89,-76.51,89.01,55,20,5.97
299,Mezen,RU,2020-09-04 18:38:00,65.85,44.24,54.95,79,0,8.7
300,Iwanai,JP,2020-09-04 18:38:00,42.97,140.51,72.45,92,99,1.21
301,Saldanha,ZA,2020-09-04 18:38:00,-33.01,17.94,57.2,87,18,5.82
302,Labrea,BR,2020-09-04 18:38:00,-7.26,-64.8,103.44,21,55,3.69
303,Myrtle Beach,US,2020-09-04 18:38:01,33.69,-78.89,97.0,62,1,9.17
