City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
58,Cayenne,4.93,-52.33,91.4,59,0,6.93,clear sky
59,Vila Velha,-20.33,-40.29,81.0,65,20,14.99,few clouds
60,Juneau,58.3,-134.42,46.99,93,40,3.36,fog
61,Yelatma,54.97,41.75,62.96,65,31,4.61,scattered clouds
62,Nelson Bay,-32.72,152.15,55.0,93,0,8.3,clear sky
63,Tiksi,71.69,128.87,42.55,90,100,6.6,overcast clouds
64,Nuevo Progreso,23.17,-97.95,75.99,72,100,1.99,light rain
65,Upernavik,72.79,-56.15,36.52,78,98,10.02,overcast clouds
66,Thompson,55.74,-97.86,41.0,93,90,12.75,light rain
67,Kloulklubed,7.04,134.26,77.0,94,75,3.36,broken clouds
68,Ondjiva,-17.07,15.73,93.2,13,0,6.93,clear sky
69,Punta Arenas,-53.15,-70.92,42.8,81,75,13.87,broken clouds
70,Pangnirtung,66.15,-65.71,40.98,68,54,4.7,broken clouds
71,Chokwe,-24.53,32.98,67.98,64,67,6.26,broken clouds
72,Vaini,-21.2,-175.2,69.8,73,75,10.29,broken clouds
73,Albany,42.6,-73.97,73.0,52,28,2.51,scattered clouds
74,Eureka,40.8,-124.16,59.0,100,0,5.17,clear sky
75,Ushuaia,-54.8,-68.3,42.8,75,40,19.46,scattered clouds
76,Radstadt,47.38,13.45,62.01,93,75,3.36,light rain
77,Doljo,9.59,123.73,84.51,73,80,1.16,broken clouds
78,Bilibino,68.05,166.44,29.73,94,0,3.24,clear sky
79,Lisala,2.15,21.52,77.47,82,100,2.17,overcast clouds
80,Ilulissat,69.22,-51.1,35.6,93,98,6.93,overcast clouds
81,Adrar,20.5,-10.07,97.79,28,73,10.65,broken clouds
82,Mar Del Plata,-38.0,-57.56,48.2,66,75,6.93,broken clouds
83,Begoro,6.39,-0.38,78.87,71,62,4.38,broken clouds
84,Muros,42.78,-9.06,75.0,56,0,13.87,clear sky
85,Hermanus,-34.42,19.23,63.0,67,16,5.01,few clouds
86,Abha,18.22,42.51,82.4,14,20,10.29,few clouds
87,Bluff,-46.6,168.33,45.0,72,76,11.01,broken clouds
88,Inhambane,-23.86,35.38,73.4,64,40,2.24,scattered clouds
89,Tasiilaq,65.61,-37.64,37.4,93,100,8.05,overcast clouds
90,Yarim,14.3,44.38,63.41,50,48,4.97,scattered clouds
91,Moussoro,13.64,16.49,82.0,68,95,9.71,overcast clouds
92,Newtonmore,57.07,-4.12,61.0,48,20,8.05,few clouds
93,Dukat,62.55,155.55,37.81,93,100,7.31,light rain
94,Buala,-8.14,159.59,80.19,81,35,6.42,light rain
95,Aneby,57.84,14.81,57.2,71,90,14.99,overcast clouds
96,Belaya Gora,68.53,146.42,45.39,79,100,4.54,light rain
97,Lewistown,40.6,-77.57,75.2,53,1,5.82,clear sky
98,Saint George,37.1,-113.58,78.8,14,1,3.36,clear sky
99,Pevek,69.7,170.31,38.73,77,0,16.51,clear sky
100,Cape Town,-33.93,18.42,68.0,49,2,10.29,clear sky
101,Lazaro Cardenas,17.96,-102.2,83.34,72,91,3.06,overcast clouds
102,Biak,-0.91,122.88,76.78,81,70,7.65,broken clouds
103,Launceston,-41.45,147.17,46.99,93,100,11.41,light rain
104,Balkanabat,39.51,54.37,87.53,13,0,20.96,clear sky
105,Guerrero,17.67,-100.0,76.8,64,60,3.11,broken clouds
106,Torbay,47.67,-52.73,71.01,37,40,6.93,scattered clouds
107,Severo-Kurilsk,50.68,156.12,54.23,92,100,4.7,overcast clouds
108,Saint-Joseph,-21.37,55.62,69.8,83,31,5.82,scattered clouds
109,Aklavik,68.22,-135.01,39.2,80,75,4.7,broken clouds
110,Santa Cruz,-17.8,-63.17,86.0,48,75,10.29,smoke
111,Bengkulu,-3.8,102.27,77.07,88,90,5.39,overcast clouds
112,Port Alfred,-33.59,26.89,62.76,82,88,12.48,overcast clouds
113,Beloha,-25.17,45.05,64.92,67,0,16.93,clear sky
114,Dingle,11.0,122.67,78.04,89,86,3.02,overcast clouds
115,Karpathos,35.51,27.21,78.8,61,0,24.16,clear sky
116,Gizo,-8.1,156.84,82.11,75,17,6.87,moderate rain
117,Muslyumovo,55.3,53.19,54.75,67,59,1.54,broken clouds
118,Bredasdorp,-34.53,20.04,62.6,55,36,13.87,scattered clouds
119,Sars,56.55,57.14,49.86,93,8,5.44,clear sky
120,Lindi,-10.0,39.72,80.6,44,20,11.41,few clouds
121,Constitucion,-35.33,-72.42,59.18,54,0,7.7,clear sky
122,Ponta Do Sol,32.67,-17.1,77.0,69,20,6.93,few clouds
123,Kota Kinabalu,5.97,116.07,77.0,94,20,2.24,few clouds
124,Alyangula,-13.85,136.42,66.2,93,2,8.77,clear sky
125,Guerrero Negro,27.98,-114.06,87.17,46,0,5.12,clear sky
126,Hilo,19.73,-155.09,73.4,73,90,4.7,overcast clouds
127,Karratha,-20.74,116.85,69.64,76,0,8.7,clear sky
128,Kaniama,-7.57,24.18,84.24,23,95,2.46,overcast clouds
129,North Bend,43.41,-124.22,59.0,100,1,6.93,clear sky
130,Udachnyy,66.42,112.4,37.4,93,22,6.71,few clouds
131,Waipawa,-41.41,175.52,51.8,81,98,23.04,overcast clouds
132,Touros,-5.2,-35.46,86.0,51,75,11.41,broken clouds
133,Sneek,53.03,5.66,57.99,91,88,1.99,light rain
134,Baruun-Urt,46.68,113.28,54.43,81,0,6.26,clear sky
135,Leningradskiy,69.38,178.42,35.33,86,6,7.05,clear sky
